,Units,scenario,region,sector,subsector,technology,Year,value
98,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2095,0.139747
99,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2100,0.139476
100,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2005,0.102927
101,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2010,0.116127
102,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2015,0.117332
103,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2020,0.118282
104,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2025,0.110798
105,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2030,0.106695
106,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2035,0.106434
107,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2040,0.106854
108,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2045,0.107039
109,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2050,0.10632
110,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2055,0.107287
111,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2060,0.109609
112,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2065,0.113549
113,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2070,0.120299
114,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2075,0.126287
115,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2080,0.131367
116,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2085,0.137169
