,Units,scenario,region,Year,value
107,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Argentina,2090,-29.697694608479924
108,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Argentina,2095,-35.509720503388436
109,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Argentina,2100,-41.282643009078
110,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Australia_NZ,1975,29.21162435
111,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Australia_NZ,1990,81.52909447000003
112,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Australia_NZ,2005,115.05888490999992
113,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Australia_NZ,2010,120.55486017999992
114,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Australia_NZ,2015,118.93155669000002
115,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Australia_NZ,2020,143.13306159891005
116,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Australia_NZ,2025,143.72377666006201
117,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Australia_NZ,2030,128.533582990721
118,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Australia_NZ,2035,107.44186824783394
119,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Australia_NZ,2040,91.94406543429001
120,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Australia_NZ,2045,78.63415153571005
121,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Australia_NZ,2050,68.16897532666005
122,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Australia_NZ,2055,59.47106838964403
123,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Australia_NZ,2060,51.07566476348225
124,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Australia_NZ,2065,40.96382283574074
125,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Australia_NZ,2070,26.391774550675613
126,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Australia_NZ,2075,5.987611936515069
127,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Australia_NZ,2080,-17.90494245016739
128,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Australia_NZ,2085,-45.76450300939184
129,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Australia_NZ,2090,-72.0922397108796
130,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Australia_NZ,2095,-92.9225553459266
131,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Australia_NZ,2100,-107.57360874106777
132,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Brazil,1975,27.46544848
133,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Brazil,1990,59.05760217000001
134,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Brazil,2005,97.70810127999998
135,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Brazil,2010,116.47767183600001
136,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Brazil,2015,138.42111198
137,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Brazil,2020,148.757752727
138,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Brazil,2025,148.00382732530008
139,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Brazil,2030,134.47179660430004
140,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Brazil,2035,113.99888407890005
141,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Brazil,2040,96.03381122199991
142,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Brazil,2045,77.88769498393022
143,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Brazil,2050,60.8801102840797
144,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Brazil,2055,45.10402803027528
145,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Brazil,2060,26.909679569811264
146,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Brazil,2065,-0.728991062479524
147,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Brazil,2070,-32.78041672075028
148,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Brazil,2075,-55.4690163795649
149,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Brazil,2080,-73.52053596158564
150,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Brazil,2085,-88.05929779271588
151,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Brazil,2090,-100.22399932030433
152,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Brazil,2095,-111.7509362873665
153,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Brazil,2100,-126.0346328531334
154,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Canada,1975,54.053679880000004
155,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Canada,1990,119.43061701099998
156,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Canada,2005,156.42346963400004
157,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Canada,2010,151.671575594
158,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Canada,2015,159.98385588400004
159,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Canada,2020,186.09368581209992
160,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Canada,2025,180.47664568207995
161,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Canada,2030,164.75067941169007
162,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Canada,2035,142.5265500885621
