,Units,scenario,region,sector,Year,value
104,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,cement,2060,6.5320095605000015
105,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,cement,2065,6.520889605
106,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,cement,2070,6.523520164000001
107,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,cement,2075,6.501485230000001
108,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,cement,2080,6.353985999999999
109,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,cement,2085,5.98448577
110,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,cement,2090,5.374164409999999
111,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,cement,2095,4.59498031
112,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,cement,2100,3.75646054
113,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm heating,1990,0.0113065
114,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm heating,2005,0.024432354
115,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm heating,2010,0.026966924012549662
116,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm heating,2015,0.029849520816794595
117,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm heating,2020,0.03825886123182324
118,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm heating,2025,0.04464343959827715
119,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm heating,2030,0.05568438196985579
120,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm heating,2035,0.0715949075441373
121,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm heating,2040,0.09170106896688554
122,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm heating,2045,0.11672433724382526
123,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm heating,2050,0.15080549445288716
124,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm heating,2055,0.19848759238763616
125,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm heating,2060,0.25423538882260277
126,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm heating,2065,0.3127353882168775
127,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm heating,2070,0.3639045444639059
128,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm heating,2075,0.420578699751611
129,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm heating,2080,0.4824455868934727
130,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm heating,2085,0.5465893957986613
131,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm heating,2090,0.6128126625473307
132,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm heating,2095,0.6828931398520468
133,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm heating,2100,0.7579424845533855
134,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm others,1990,0.22178093386275677
135,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm others,2005,0.48500420449067305
136,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm others,2010,0.5350400452159214
137,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm others,2015,0.5913315088200097
138,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm others,2020,0.4609603617675897
139,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm others,2025,0.3037912865547947
140,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm others,2030,0.24735969114535433
141,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm others,2035,0.2226361161523658
142,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm others,2040,0.19126109923191653
143,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm others,2045,0.15299978771397446
144,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm others,2050,0.1300248305893816
145,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm others,2055,0.1170714162162303
146,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm others,2060,0.10276210229166313
147,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm others,2065,0.08262568699970156
148,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm others,2070,0.05974768360460859
149,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm others,2075,0.0446220149675749
150,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm others,2080,0.03433250583302936
151,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm others,2085,0.026628748031212405
152,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm others,2090,0.020639895025241464
153,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm others,2095,0.015883904937262588
154,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,comm others,2100,0.0121117545298764
155,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction energy use,2005,0.02379349
156,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction energy use,2010,0.07957420705804143
157,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction energy use,2015,0.03773511394637938
158,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction energy use,2020,0.04231385811174183
159,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction energy use,2025,0.04509802122204566
160,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction energy use,2030,0.04478062380549974
161,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction energy use,2035,0.0416678942069672
162,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction energy use,2040,0.0385644098577648
163,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction energy use,2045,0.03520383147200368
164,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction energy use,2050,0.031840601191959465
165,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction energy use,2055,0.030476292009641283
166,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction energy use,2060,0.030366453802384813
167,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction energy use,2065,0.030919979080595007
168,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction energy use,2070,0.031276994512784394
169,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction energy use,2075,0.03210081496760611
170,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction energy use,2080,0.03336021408119145
171,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction energy use,2085,0.034984881743993
172,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction energy use,2090,0.037183686424871305
173,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction energy use,2095,0.04001469459198936
174,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction energy use,2100,0.04307466279173866
175,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction feedstocks,2010,-8.100783464848819e-06
176,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction feedstocks,2015,-1.0500227710443206e-05
177,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction feedstocks,2020,-0.00023243651168498787
178,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction feedstocks,2025,-0.0014378170334511298
179,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction feedstocks,2030,-0.007326500832708023
180,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction feedstocks,2035,-0.02002146268728644
181,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction feedstocks,2040,-0.03357390524959988
182,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction feedstocks,2045,-0.0468650920291822
183,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction feedstocks,2050,-0.05983826448637518
184,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction feedstocks,2055,-0.0693658897460569
185,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction feedstocks,2060,-0.07625330011837564
186,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction feedstocks,2065,-0.08103931350923402
187,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,construction feedstocks,2070,-0.08413718055501056
