,Units,scenario,region,Year,value
126,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Australia_NZ,2075,165.24932405418753
127,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Australia_NZ,2080,165.45458068898606
128,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Australia_NZ,2085,166.5404654722316
129,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Australia_NZ,2090,166.47383472403945
130,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Australia_NZ,2095,165.96509632677274
131,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Australia_NZ,2100,165.61455528854916
132,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Brazil,1975,27.46544848
133,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Brazil,1990,59.05760217000001
134,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Brazil,2005,97.70810127999998
135,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Brazil,2010,116.47767183600001
136,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Brazil,2015,138.42111198
137,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Brazil,2020,159.36355384372604
138,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Brazil,2025,174.0828995834476
139,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Brazil,2030,185.09780640622918
140,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Brazil,2035,195.26413599857455
141,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Brazil,2040,202.33868919214032
142,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Brazil,2045,206.0591175857903
143,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Brazil,2050,207.64434393435445
144,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Brazil,2055,213.53412563308956
145,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Brazil,2060,223.29624477198803
146,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Brazil,2065,229.58406424920574
147,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Brazil,2070,236.97221127891524
148,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Brazil,2075,243.68594823522497
149,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Brazil,2080,245.39738476656026
150,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Brazil,2085,246.60378501245242
151,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Brazil,2090,247.08761637021436
152,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Brazil,2095,247.5798065639084
153,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Brazil,2100,248.04144410216395
154,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Canada,1975,54.053679880000004
155,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Canada,1990,119.43061701099998
156,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Canada,2005,156.42346963400004
157,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Canada,2010,151.671575594
158,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Canada,2015,159.98385588400004
159,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Canada,2020,173.45573744199993
160,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Canada,2025,177.5072796800801
161,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Canada,2030,179.18866877008597
162,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Canada,2035,177.1651173770173
163,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Canada,2040,174.41285258073816
164,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Canada,2045,172.9420475196482
165,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Canada,2050,170.91619708767652
166,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Canada,2055,169.10258407414364
167,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Canada,2060,169.36323968511772
168,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Canada,2065,169.71771187839664
169,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Canada,2070,175.89580988233894
170,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Canada,2075,181.71977162066918
171,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Canada,2080,184.85111491837887
