,region,scenario,technology,Year,value
253,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2010,361.55188159999994
254,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2015,428.4971525
255,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2020,491.24254146999994
256,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2025,331.79023693999994
257,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2030,73.92055484999997
258,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2035,-187.21721778999998
259,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2040,-343.49817579300003
260,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2045,-444.25013852
261,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2050,-536.9985619196001
262,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2055,-603.9088051747
