,region,scenario,input,Year,value
113,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2090,0.2658879
114,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2095,0.20538679999999998
115,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2100,0.1672562
116,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",refined liquids,2005,1.0570323013
117,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",refined liquids,2010,1.2183545658
118,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",refined liquids,2015,1.6588257623609997
119,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",refined liquids,2020,2.3373070821760096
120,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",refined liquids,2025,2.7100896686689584
121,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",refined liquids,2030,3.2039974483529003
122,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",refined liquids,2035,3.826785857172699
123,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",refined liquids,2040,4.575016871017409
124,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",refined liquids,2045,5.402297470002202
125,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",refined liquids,2050,6.237056484915501
126,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",refined liquids,2055,7.035739153013498
127,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",refined liquids,2060,7.605858484666699
128,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",refined liquids,2065,7.86640663714415
129,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",refined liquids,2070,7.732244028384482
130,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",refined liquids,2075,7.463128836352552
131,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",refined liquids,2080,7.148141221174351
132,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",refined liquids,2085,6.73721401224025
133,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",refined liquids,2090,6.279245531050884
134,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",refined liquids,2095,5.7977452438149815
135,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",refined liquids,2100,5.310207903018179
136,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2005,0.46585958999999993
137,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2010,0.5337992699999999
138,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2015,0.5608814649999998
139,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2020,0.5486501166999999
140,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2025,0.6142418493000001
141,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2030,0.5929345812000002
