,Year,region,mode,technology,value
603,2055,Africa_Western,aviation,BEV,0.024707000599999997
606,2055,Africa_Western,rail,BEV,0.00269136
607,2055,Africa_Western,rail,Electric,0.0004492131
608,2055,Africa_Western,rail,FCEV,0.00354648
611,2055,Africa_Western,road,BEV,0.665494384
612,2055,Africa_Western,road,FCEV,0.23277788089999998
615,2055,Africa_Western,ship,BEV,0.001292376
616,2055,Africa_Western,ship,FCEV,0.002627422
619,2055,Brazil,aviation,BEV,0.010891452
622,2055,Brazil,rail,BEV,0.00711742
623,2055,Brazil,rail,Electric,0.01991367
624,2055,Brazil,rail,FCEV,0.0105752
627,2055,Brazil,road,BEV,0.5393838959999999
628,2055,Brazil,road,FCEV,0.179009243
632,2055,Brazil,ship,BEV,0.001757876
633,2055,Brazil,ship,FCEV,0.0034246610000000003
636,2055,China,aviation,BEV,0.178667984
639,2055,China,rail,BEV,0.26842
640,2055,China,rail,Electric,0.271938
641,2055,China,rail,FCEV,0.354585
644,2055,China,road,BEV,0.8582835788
645,2055,China,road,FCEV,0.38906045199999995
649,2055,China,ship,BEV,0.06475681
650,2055,China,ship,FCEV,0.0580928
653,2055,India,aviation,BEV,0.0551103737
656,2055,India,rail,BEV,0.0384314
657,2055,India,rail,Electric,0.10503236999999999
658,2055,India,rail,FCEV,0.0572178
661,2055,India,road,BEV,1.257056034
662,2055,India,road,FCEV,0.4058592213000001
666,2055,India,ship,BEV,0.001689224
667,2055,India,ship,FCEV,0.00568159
670,2055,South Asia,aviation,BEV,0.0015578332
673,2055,South Asia,rail,BEV,0.00163371
674,2055,South Asia,rail,Electric,0.0017646971
675,2055,South Asia,rail,FCEV,0.00156734
678,2055,South Asia,road,BEV,0.2716930722
679,2055,South Asia,road,FCEV,0.09700353182999999
683,2055,South Asia,ship,BEV,0.00103693686
684,2055,South Asia,ship,FCEV,0.000993563
687,2060,Africa_Western,aviation,BEV,0.0526580329
690,2060,Africa_Western,rail,BEV,0.0032283
691,2060,Africa_Western,rail,Electric,0.0006670571
692,2060,Africa_Western,rail,FCEV,0.00426015
695,2060,Africa_Western,road,BEV,0.823425975
696,2060,Africa_Western,road,FCEV,0.2883307311
699,2060,Africa_Western,ship,BEV,0.001982088
700,2060,Africa_Western,ship,FCEV,0.00394069
703,2060,Brazil,aviation,BEV,0.0185356405
706,2060,Brazil,rail,BEV,0.00746484
707,2060,Brazil,rail,Electric,0.021523379999999998
708,2060,Brazil,rail,FCEV,0.0110844
711,2060,Brazil,road,BEV,0.561752944
712,2060,Brazil,road,FCEV,0.19006905500000001
716,2060,Brazil,ship,BEV,0.002431061
717,2060,Brazil,ship,FCEV,0.004610889999999999
720,2060,China,aviation,BEV,0.291168481
723,2060,China,rail,BEV,0.2768
724,2060,China,rail,Electric,0.27766660000000004
725,2060,China,rail,FCEV,0.366635
728,2060,China,road,BEV,0.8525924889999998
729,2060,China,road,FCEV,0.396892091
733,2060,China,ship,BEV,0.08528993
734,2060,China,ship,FCEV,0.0781951
737,2060,India,aviation,BEV,0.106228691
740,2060,India,rail,BEV,0.0427125
741,2060,India,rail,Electric,0.11118939
742,2060,India,rail,FCEV,0.063451
745,2060,India,road,BEV,1.421635339
746,2060,India,road,FCEV,0.4430426164
750,2060,India,ship,BEV,0.002429188
751,2060,India,ship,FCEV,0.00757514
754,2060,South Asia,aviation,BEV,0.0031937455
757,2060,South Asia,rail,BEV,0.001882116
758,2060,South Asia,rail,Electric,0.002543947
759,2060,South Asia,rail,FCEV,0.0018026869999999999
762,2060,South Asia,road,BEV,0.31827951229999996
763,2060,South Asia,road,FCEV,0.1121789928
767,2060,South Asia,ship,BEV,0.0015145242300000001
768,2060,South Asia,ship,FCEV,0.001383479
771,2065,Africa_Western,aviation,BEV,0.09759602299999999
774,2065,Africa_Western,rail,BEV,0.00384235
775,2065,Africa_Western,rail,Electric,0.0009826258
776,2065,Africa_Western,rail,FCEV,0.00507982
779,2065,Africa_Western,road,BEV,0.991228287
780,2065,Africa_Western,road,FCEV,0.35106533789999994
783,2065,Africa_Western,ship,BEV,0.002634844
784,2065,Africa_Western,ship,FCEV,0.00513681
787,2065,Brazil,aviation,BEV,0.0274505516
790,2065,Brazil,rail,BEV,0.00778555
791,2065,Brazil,rail,Electric,0.0230665
792,2065,Brazil,rail,FCEV,0.0115572
795,2065,Brazil,road,BEV,0.57842638
796,2065,Brazil,road,FCEV,0.19714951
800,2065,Brazil,ship,BEV,0.002837381
801,2065,Brazil,ship,FCEV,0.00526858
804,2065,China,aviation,BEV,0.417798868
807,2065,China,rail,BEV,0.283398
808,2065,China,rail,Electric,0.2819553
809,2065,China,rail,FCEV,0.373072
812,2065,China,road,BEV,0.83532933
813,2065,China,road,FCEV,0.39541141399999996
817,2065,China,ship,BEV,0.09760907
818,2065,China,ship,FCEV,0.0844717
821,2065,India,aviation,BEV,0.179252262
824,2065,India,rail,BEV,0.0470668
825,2065,India,rail,Electric,0.11698499000000001
826,2065,India,rail,FCEV,0.0697285
829,2065,India,road,BEV,1.5669491800000002
830,2065,India,road,FCEV,0.4751896262
834,2065,India,ship,BEV,0.003012861
835,2065,India,ship,FCEV,0.00858847
838,2065,South Asia,aviation,BEV,0.0057247941
841,2065,South Asia,rail,BEV,0.0021495760000000003
842,2065,South Asia,rail,Electric,0.0036019775000000003
843,2065,South Asia,rail,FCEV,0.002055336
846,2065,South Asia,road,BEV,0.366344805
847,2065,South Asia,road,FCEV,0.12801070569999998
851,2065,South Asia,ship,BEV,0.00187478287
852,2065,South Asia,ship,FCEV,0.001626208
855,2070,Africa_Western,aviation,BEV,0.16048494800000002
858,2070,Africa_Western,rail,BEV,0.004547
859,2070,Africa_Western,rail,Electric,0.0014296013
860,2070,Africa_Western,rail,FCEV,0.00602787
863,2070,Africa_Western,road,BEV,1.1752857529999998
864,2070,Africa_Western,road,FCEV,0.4246854490000001
867,2070,Africa_Western,ship,BEV,0.003407224
868,2070,Africa_Western,ship,FCEV,0.00656752
871,2070,Brazil,aviation,BEV,0.035939911000000005
874,2070,Brazil,rail,BEV,0.00808972
875,2070,Brazil,rail,Electric,0.02458508
876,2070,Brazil,rail,FCEV,0.0120012
879,2070,Brazil,road,BEV,0.5915907
880,2070,Brazil,road,FCEV,0.20148604
884,2070,Brazil,ship,BEV,0.003094675
885,2070,Brazil,ship,FCEV,0.0055483600000000004
888,2070,China,aviation,BEV,0.534140037
891,2070,China,rail,BEV,0.289128
892,2070,China,rail,Electric,0.2855915
893,2070,China,rail,FCEV,0.379364
896,2070,China,road,BEV,0.8155174200000002
897,2070,China,road,FCEV,0.388692627
901,2070,China,ship,BEV,0.10565092999999999
902,2070,China,ship,FCEV,0.0882776
905,2070,India,aviation,BEV,0.269383869
908,2070,India,rail,BEV,0.0516206
909,2070,India,rail,Electric,0.1228815
910,2070,India,rail,FCEV,0.0763897
913,2070,India,road,BEV,1.7175008299999999
914,2070,India,road,FCEV,0.5123596460000001
918,2070,India,ship,BEV,0.00366877
919,2070,India,ship,FCEV,0.00990343
922,2070,South Asia,aviation,BEV,0.0091087451
925,2070,South Asia,rail,BEV,0.002443058
926,2070,South Asia,rail,Electric,0.005040042799999999
927,2070,South Asia,rail,FCEV,0.0023339
930,2070,South Asia,road,BEV,0.41932260200000004
931,2070,South Asia,road,FCEV,0.1451262658
935,2070,South Asia,ship,BEV,0.0021941237
936,2070,South Asia,ship,FCEV,0.001804941
939,2075,Africa_Western,aviation,BEV,0.23491486199999997
942,2075,Africa_Western,rail,BEV,0.00532634
943,2075,Africa_Western,rail,Electric,0.0020375652
944,2075,Africa_Western,rail,FCEV,0.00707802
947,2075,Africa_Western,road,BEV,1.3778734400000001
948,2075,Africa_Western,road,FCEV,0.5107382410000001
951,2075,Africa_Western,ship,BEV,0.004321538000000001
952,2075,Africa_Western,ship,FCEV,0.008232759999999999
955,2075,Brazil,aviation,BEV,0.042746526
958,2075,Brazil,rail,BEV,0.00838882
959,2075,Brazil,rail,Electric,0.02608552
960,2075,Brazil,rail,FCEV,0.0124403
963,2075,Brazil,road,BEV,0.60384994
964,2075,Brazil,road,FCEV,0.20462001000000002
968,2075,Brazil,ship,BEV,0.003306133
969,2075,Brazil,ship,FCEV,0.005763539999999999
972,2075,China,aviation,BEV,0.61654644
