,Year,region,mode,technology,value
622,2055,Brazil,rail,BEV,0.00685222
623,2055,Brazil,rail,Electric,0.043947889999999996
624,2055,Brazil,rail,FCEV,0.00998255
627,2055,Brazil,road,BEV,0.4379023778
628,2055,Brazil,road,FCEV,0.14109045299999998
632,2055,Brazil,ship,BEV,0.003553699
633,2055,Brazil,ship,FCEV,0.004606161
636,2055,China,aviation,BEV,0.22666541399999998
639,2055,China,rail,BEV,0.19714
640,2055,China,rail,Electric,0.20123503999999998
641,2055,China,rail,FCEV,0.238381
644,2055,China,road,BEV,0.6025736759
645,2055,China,road,FCEV,0.2888784765
649,2055,China,ship,BEV,0.12139372000000001
650,2055,China,ship,FCEV,0.0646384
653,2055,India,aviation,BEV,0.073665728
656,2055,India,rail,BEV,0.0298295
657,2055,India,rail,Electric,0.08712108999999998
658,2055,India,rail,FCEV,0.0421768
661,2055,India,road,BEV,1.4709775461999999
662,2055,India,road,FCEV,0.29914052521
666,2055,India,ship,BEV,0.003640036
667,2055,India,ship,FCEV,0.006136995
670,2055,South Asia,aviation,BEV,0.0030867312999999998
673,2055,South Asia,rail,BEV,0.001278398
674,2055,South Asia,rail,Electric,0.0024072820999999998
675,2055,South Asia,rail,FCEV,0.0009753489999999999
678,2055,South Asia,road,BEV,0.2849845699
679,2055,South Asia,road,FCEV,0.073325188507
683,2055,South Asia,ship,BEV,0.004230668599999999
684,2055,South Asia,ship,FCEV,0.001908822
687,2060,Africa_Western,aviation,BEV,0.081010601
690,2060,Africa_Western,rail,BEV,0.00206222
691,2060,Africa_Western,rail,Electric,0.0009490865
692,2060,Africa_Western,rail,FCEV,0.00250447
695,2060,Africa_Western,road,BEV,0.433542196
696,2060,Africa_Western,road,FCEV,0.15797623852
699,2060,Africa_Western,ship,BEV,0.004690991
700,2060,Africa_Western,ship,FCEV,0.005655074
703,2060,Brazil,aviation,BEV,0.02638296
706,2060,Brazil,rail,BEV,0.00733261
707,2060,Brazil,rail,Electric,0.04523583
708,2060,Brazil,rail,FCEV,0.0107389
711,2060,Brazil,road,BEV,0.47722372900000004
712,2060,Brazil,road,FCEV,0.15303337
716,2060,Brazil,ship,BEV,0.006097404
717,2060,Brazil,ship,FCEV,0.00954779
720,2060,China,aviation,BEV,0.40421309
723,2060,China,rail,BEV,0.205831
724,2060,China,rail,Electric,0.20486749999999998
725,2060,China,rail,FCEV,0.250487
728,2060,China,road,BEV,0.62577021
729,2060,China,road,FCEV,0.2964770611
733,2060,China,ship,BEV,0.19557055
734,2060,China,ship,FCEV,0.11443880000000001
737,2060,India,aviation,BEV,0.162707078
740,2060,India,rail,BEV,0.0320844
741,2060,India,rail,Electric,0.08687454
742,2060,India,rail,FCEV,0.0448399
745,2060,India,road,BEV,1.7614003527
746,2060,India,road,FCEV,0.30386015592
750,2060,India,ship,BEV,0.0070720900000000005
751,2060,India,ship,FCEV,0.00978504
754,2060,South Asia,aviation,BEV,0.00691113
757,2060,South Asia,rail,BEV,0.001423161
758,2060,South Asia,rail,Electric,0.0034052409
759,2060,South Asia,rail,FCEV,0.001064902
762,2060,South Asia,road,BEV,0.33835157469999994
763,2060,South Asia,road,FCEV,0.07911300229000001
767,2060,South Asia,ship,BEV,0.0077635095
768,2060,South Asia,ship,FCEV,0.003383199
771,2065,Africa_Western,aviation,BEV,0.16614436700000002
774,2065,Africa_Western,rail,BEV,0.00233754
775,2065,Africa_Western,rail,Electric,0.0013553286
776,2065,Africa_Western,rail,FCEV,0.00280585
779,2065,Africa_Western,road,BEV,0.5390287969999998
780,2065,Africa_Western,road,FCEV,0.18761899574
783,2065,Africa_Western,ship,BEV,0.00870255
784,2065,Africa_Western,ship,FCEV,0.009774250000000002
787,2065,Brazil,aviation,BEV,0.040531985000000006
790,2065,Brazil,rail,BEV,0.00776065
791,2065,Brazil,rail,Electric,0.04593248
792,2065,Brazil,rail,FCEV,0.0114611
795,2065,Brazil,road,BEV,0.51541852
796,2065,Brazil,road,FCEV,0.168803743
800,2065,Brazil,ship,BEV,0.00844532
801,2065,Brazil,ship,FCEV,0.017602430000000002
804,2065,China,aviation,BEV,0.61360493
807,2065,China,rail,BEV,0.21298
808,2065,China,rail,Electric,0.20754103
809,2065,China,rail,FCEV,0.261824
812,2065,China,road,BEV,0.63972455
813,2065,China,road,FCEV,0.303610209
817,2065,China,ship,BEV,0.2729224
818,2065,China,ship,FCEV,0.18292239999999999
821,2065,India,aviation,BEV,0.30236846900000003
824,2065,India,rail,BEV,0.034012
825,2065,India,rail,Electric,0.08645711
826,2065,India,rail,FCEV,0.0470278
829,2065,India,road,BEV,2.0567998447000004
830,2065,India,road,FCEV,0.30690489013999994
834,2065,India,ship,BEV,0.011816779999999999
835,2065,India,ship,FCEV,0.014097970000000001
838,2065,South Asia,aviation,BEV,0.013268510999999998
841,2065,South Asia,rail,BEV,0.001552241
842,2065,South Asia,rail,Electric,0.0046260979
843,2065,South Asia,rail,FCEV,0.001139667
846,2065,South Asia,road,BEV,0.3956715966
847,2065,South Asia,road,FCEV,0.08573317808
851,2065,South Asia,ship,BEV,0.012666992
852,2065,South Asia,ship,FCEV,0.0055716410000000004
855,2070,Africa_Western,aviation,BEV,0.297068043
858,2070,Africa_Western,rail,BEV,0.00259591
859,2070,Africa_Western,rail,Electric,0.0018714275
860,2070,Africa_Western,rail,FCEV,0.00308605
863,2070,Africa_Western,road,BEV,0.6731718490000002
864,2070,Africa_Western,road,FCEV,0.22558203859999998
867,2070,Africa_Western,ship,BEV,0.01616395
868,2070,Africa_Western,ship,FCEV,0.01949082
871,2070,Brazil,aviation,BEV,0.053479597
874,2070,Brazil,rail,BEV,0.00816426
875,2070,Brazil,rail,Electric,0.04614848
876,2070,Brazil,rail,FCEV,0.0121123
879,2070,Brazil,road,BEV,0.55559268
880,2070,Brazil,road,FCEV,0.187058274
884,2070,Brazil,ship,BEV,0.01087588
885,2070,Brazil,ship,FCEV,0.02702771
888,2070,China,aviation,BEV,0.80503476
891,2070,China,rail,BEV,0.217879
892,2070,China,rail,Electric,0.20917846
893,2070,China,rail,FCEV,0.268717
896,2070,China,road,BEV,0.65446215
897,2070,China,road,FCEV,0.3110139526
901,2070,China,ship,BEV,0.3600491
902,2070,China,ship,FCEV,0.268168
905,2070,India,aviation,BEV,0.47325313
908,2070,India,rail,BEV,0.0355328
909,2070,India,rail,Electric,0.08589180999999999
910,2070,India,rail,FCEV,0.0487153
913,2070,India,road,BEV,2.3506585937
914,2070,India,road,FCEV,0.3107813196
918,2070,India,ship,BEV,0.0180516
919,2070,India,ship,FCEV,0.020219229999999998
922,2070,South Asia,aviation,BEV,0.022373479
925,2070,South Asia,rail,BEV,0.001656465
926,2070,South Asia,rail,Electric,0.0060651774
927,2070,South Asia,rail,FCEV,0.00119767
930,2070,South Asia,road,BEV,0.4603604753
931,2070,South Asia,road,FCEV,0.09374372590999999
935,2070,South Asia,ship,BEV,0.020053247
936,2070,South Asia,ship,FCEV,0.01022689
939,2075,Africa_Western,aviation,BEV,0.44824295000000003
942,2075,Africa_Western,rail,BEV,0.00282498
943,2075,Africa_Western,rail,Electric,0.0024876395999999996
944,2075,Africa_Western,rail,FCEV,0.00332722
947,2075,Africa_Western,road,BEV,0.831244464
948,2075,Africa_Western,road,FCEV,0.2690744106
951,2075,Africa_Western,ship,BEV,0.024715960000000002
952,2075,Africa_Western,ship,FCEV,0.033661909999999996
955,2075,Brazil,aviation,BEV,0.064308132
958,2075,Brazil,rail,BEV,0.00855225
959,2075,Brazil,rail,Electric,0.04591846
960,2075,Brazil,rail,FCEV,0.0127095
963,2075,Brazil,road,BEV,0.6060649
964,2075,Brazil,road,FCEV,0.20740451
968,2075,Brazil,ship,BEV,0.013931540000000001
969,2075,Brazil,ship,FCEV,0.03836779
972,2075,China,aviation,BEV,0.94032628
975,2075,China,rail,BEV,0.220366
976,2075,China,rail,Electric,0.20913231000000002
977,2075,China,rail,FCEV,0.270918
980,2075,China,road,BEV,0.67200483
981,2075,China,road,FCEV,0.31832773200000003
985,2075,China,ship,BEV,0.441617
986,2075,China,ship,FCEV,0.3526
989,2075,India,aviation,BEV,0.6396005899999999
992,2075,India,rail,BEV,0.0366822
993,2075,India,rail,Electric,0.08485725
994,2075,India,rail,FCEV,0.049926
997,2075,India,road,BEV,2.6243359445000003
998,2075,India,road,FCEV,0.31331724169999997
1002,2075,India,ship,BEV,0.02453343
1003,2075,India,ship,FCEV,0.026643729999999997
1006,2075,South Asia,aviation,BEV,0.032369327999999996
1009,2075,South Asia,rail,BEV,0.001754032
1010,2075,South Asia,rail,Electric,0.007676302899999999
1011,2075,South Asia,rail,FCEV,0.0012534830000000001
1014,2075,South Asia,road,BEV,0.5257241085
1015,2075,South Asia,road,FCEV,0.10195521344
1019,2075,South Asia,ship,BEV,0.026788483999999998
1020,2075,South Asia,ship,FCEV,0.01693056
1023,2080,Africa_Western,aviation,BEV,0.60139734
1026,2080,Africa_Western,rail,BEV,0.00303186
1027,2080,Africa_Western,rail,Electric,0.0031973339
1028,2080,Africa_Western,rail,FCEV,0.00354043
1031,2080,Africa_Western,road,BEV,1.000544413
1032,2080,Africa_Western,road,FCEV,0.31411479970000006
1035,2080,Africa_Western,ship,BEV,0.03315824
1036,2080,Africa_Western,ship,FCEV,0.05038452
1039,2080,Brazil,aviation,BEV,0.07165801399999999
1042,2080,Brazil,rail,BEV,0.00889808
1043,2080,Brazil,rail,Electric,0.045270540000000005
1044,2080,Brazil,rail,FCEV,0.0132746
1047,2080,Brazil,road,BEV,0.66651879
1048,2080,Brazil,road,FCEV,0.2330103
1052,2080,Brazil,ship,BEV,0.01699623
1053,2080,Brazil,ship,FCEV,0.056211189999999994
1056,2080,China,aviation,BEV,1.01500441
1059,2080,China,rail,BEV,0.221337
1060,2080,China,rail,Electric,0.2080562
1061,2080,China,rail,FCEV,0.27242
1064,2080,China,road,BEV,0.68829762
1065,2080,China,road,FCEV,0.3256094675
1069,2080,China,ship,BEV,0.5029743999999999
1070,2080,China,ship,FCEV,0.44679800000000003
1073,2080,India,aviation,BEV,0.79223591
1076,2080,India,rail,BEV,0.0375793
1077,2080,India,rail,Electric,0.08348566999999998
1078,2080,India,rail,FCEV,0.0508213
1081,2080,India,road,BEV,2.8631418739
1082,2080,India,road,FCEV,0.3139432334500001
1086,2080,India,ship,BEV,0.03139513
